**** DÉBUT DU JOURNAL À Tue May  1 18:29:18 2007

mai 01 18:30:13 *	tiav est parti (Success)
mai 08 16:36:26 *	krifur (n=krifur@80-43-106-32.dynamic.dsl.as9105.com) a rejoint #debian-fr
mai 08 16:36:34 *	berzerking (n=berzerki@tro83-2-82-244-122-66.fbx.proxad.net) a rejoint #debian-fr
mai 08 16:36:39 <berzerking>	re salut a tous ...
mai 08 16:37:48 <berzerking>	je craque ... j'e ne vois toujours pas comment faire passer ma carte pcmicia reseau pour ce qu elle est vraiement etant donné que ma debian ne charge pas le bon drivers ... help .... http://tuxmobil.org/pcmcia_ci10010.html
mai 08 16:42:03 *	JuLiiieN est parti ("Quitte")
mai 08 16:51:14 *	barbo est parti (Read error: 110 (Connection timed out))
mai 08 16:53:45 *	neo_phryte est parti (Remote closed the connection)
mai 08 16:54:02 *	berzerking (n=berzerki@tro83-2-82-244-122-66.fbx.proxad.net) a quitté #debian-fr ("Quitte")
mai 08 16:55:56 *	hellwolf est parti ("Leaving")
mai 08 17:02:51 *	neo_phryte (n=chevalie@225.41-64-87.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 08 17:06:05 *	galahaad (n=chevalie@225.41-64-87.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 08 17:07:18 *	neo_phryte est parti (Nick collision from services.)
mai 08 17:07:27 *	galahaad s'appelle maintenant neo_phryte
mai 08 17:13:37 *	TrueDD est parti (Read error: 113 (No route to host))
mai 08 17:14:49 *	Tino s'appelle maintenant Tinozaure
mai 08 17:19:10 *	jnjb (n=nico@ALyon-156-1-35-190.w86-216.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 17:22:03 *	Fr3d0 (n=fred@82.224.137.188) a rejoint #debian-fr
mai 08 17:22:14 *	Fr3d0 (n=fred@82.224.137.188) a quitté #debian-fr
mai 08 17:25:46 *	Nanthrax est parti ("WeeChat 0.2.1")
mai 08 17:33:30 *	yoan (n=yoan@lns-bzn-44-82-249-215-218.adsl.proxad.net) a rejoint #debian-fr
mai 08 17:41:10 *	jnjb est parti ("WeeChat 0.2.5-cvs")
mai 08 17:48:01 *	ale666 (n=spaceout@adsl-75-19-60-148.dsl.irvnca.sbcglobal.net) a rejoint #debian-fr
mai 08 17:48:39 *	iip2 (n=iip2@bugness.org) a rejoint #debian-fr
mai 08 17:50:10 *	yoan est parti ()
mai 08 17:53:21 *	manx86 est parti ("Software is like sex, it's better when it's free (Linus Torsvald)")
mai 08 17:56:19 *	Nanthrax (n=jb@lns-bzn-51f-62-147-204-106.adsl.proxad.net) a rejoint #debian-fr
mai 08 17:57:08 *	ale666 est parti (Read error: 145 (Connection timed out))
mai 08 18:09:29 *	keul1 (n=cray@AMontpellier-152-1-38-159.w81-251.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 18:11:00 *	Ash_Crow est parti (Nick collision from services.)
mai 08 18:11:21 *	ash_bzh (n=Ash_Crow@lav35-1-82-236-137-214.fbx.proxad.net) a rejoint #debian-fr
mai 08 18:13:48 *	judic (n=judic@dyn-83-156-10-40.ppp.tiscali.fr) a rejoint #debian-fr
mai 08 18:14:41 *	Bertrand- est parti (Remote closed the connection)
mai 08 18:14:59 *	judic est parti (Client Quit)
mai 08 18:21:18 *	Necrite[-_-zzZZZ (i=Aimelavi@ARennes-356-1-56-177.w86-214.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 18:21:20 *	Telepathmaster est parti (Read error: 60 (Operation timed out))
mai 08 18:21:44 *	UnMus (n=domi@84.4.239.102) a rejoint #debian-fr
mai 08 18:22:06 <UnMus>	Bonsoir
mai 08 18:26:13 *	keulin est parti (Read error: 110 (Connection timed out))
mai 08 18:26:15 *	mirak est parti ("Ex-Chat")
mai 08 18:27:28 *	neo_phryte est parti ("Quitte")
mai 08 18:27:42 *	neo_phryte (n=chevalie@225.41-64-87.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 08 18:29:06 *	Necrite est parti (Read error: 60 (Operation timed out))
mai 08 18:36:04 *	tadada (n=dada@ANancy-154-1-106-26.w86-218.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 18:36:09 *	zepe (i=AroNScri@d213-103-231-122.cust.tele2.fr) a rejoint #debian-fr
mai 08 18:36:22 *	tadada (n=dada@ANancy-154-1-106-26.w86-218.abo.wanadoo.fr) a quitté #debian-fr
mai 08 18:37:42 <zepe>	bonjour
mai 08 18:38:08 <zepe>	vs savez ou on peut trouver les user mysql sous debian?
mai 08 18:38:41 <zepe>	j ai cherché sur le net et on me dit que sa se trouve dans /etc/mysql/debian.conf
mai 08 18:38:51 <zepe>	mais je n ai pas de debian.conf ...
mai 08 18:41:52 *	ale666 (n=spaceout@adsl-75-19-60-148.dsl.irvnca.sbcglobal.net) a rejoint #debian-fr
mai 08 18:52:21 *	Zanton (n=simon@seg75-7-88-164-183-211.fbx.proxad.net) a rejoint #debian-fr
mai 08 18:59:39 *	Shisui` est parti ("Quitte")
mai 08 19:03:38 <Sano>	zepe: dans les tables system de mysql, comme sous toutes les distribs
mai 08 19:07:07 *	kartooon est parti ("WeeChat 0.2.3,Gentoo powered")
mai 08 19:07:24 *	JuLiiieN (n=Jul@AVelizy-152-1-14-168.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 19:13:12 *	UnMus est parti ("Connexion reset by beer")
mai 08 19:17:38 *	toffmini est parti ("Ex-Chat")
mai 08 19:19:23 *	Touns_AW est parti (Remote closed the connection)
mai 08 19:19:26 *	Touns_AW (n=plop@lns-bzn-22-82-249-111-208.adsl.proxad.net) a rejoint #debian-fr
mai 08 19:20:04 *	exd (n=romain@24.238.99-84.rev.gaoland.net) a rejoint #debian-fr
mai 08 19:23:12 *	ale666 est parti (Read error: 145 (Connection timed out))
mai 08 19:37:48 *	JuLiiieN est parti ("Quitte")
mai 08 19:38:40 *	cqst (n=unix@ras75-4-82-229-152-200.fbx.proxad.net) a rejoint #debian-fr
mai 08 19:38:50 *	keul1 s'appelle maintenant keulun
mai 08 19:38:58 *	keulun s'appelle maintenant keulin
mai 08 19:44:09 *	keikoz (n=keikoz@pha75-12-82-245-84-46.fbx.proxad.net) a rejoint #debian-fr
mai 08 19:49:26 *	Bertrand- (n=bertrand@i03m-87-89-118-251.d4.club-internet.fr) a rejoint #debian-fr
mai 08 19:51:21 *	billy-jo__ (n=billy-jo@AClermont-Ferrand-156-1-131-114.w86-197.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 19:51:37 *	neo_phryte est parti ("Quitte")
mai 08 19:57:37 *	ale666 (n=spaceout@64.241.37.140) a rejoint #debian-fr
mai 08 20:06:33 *	algot (n=algot@201-11-77-235.jvece7006.dsl.brasiltelecom.net.br) a rejoint #debian-fr
mai 08 20:08:24 *	billy-jo__ est parti ("leaving")
mai 08 20:08:39 *	billy-jo_ est parti (Connection timed out)
mai 08 20:12:04 *	Necrite[-_-zzZZZ est parti ("Life reset by peer")
mai 08 20:21:42 *	Pinkilla_ s'appelle maintenant Pinkilla
mai 08 20:22:42 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
mai 08 20:24:10 <Saelynh>	hello
mai 08 20:38:44 *	barbo (n=maboto@gar13-3-89-80-185-157.dsl.club-internet.fr) a rejoint #debian-fr
mai 08 20:40:08 *	Bertrand- est parti (Read error: 104 (Connection reset by peer))
mai 08 20:45:55 *	UnMus (n=domi@84.4.239.102) a rejoint #debian-fr
mai 08 20:45:59 *	Bertrand- (n=bertrand@i03m-87-89-118-251.d4.club-internet.fr) a rejoint #debian-fr
mai 08 20:48:24 <krionux_>	re
mai 08 20:56:01 *	iip2 est parti ("quit")
mai 08 21:04:05 *	algot est parti ("Leaving")
mai 08 21:04:35 *	yoan (n=yoan@lns-bzn-44-82-249-215-218.adsl.proxad.net) a rejoint #debian-fr
mai 08 21:05:08 *	Zanton est parti ("Leaving")
mai 08 21:18:28 *	tadada (n=dada@ANancy-154-1-35-118.w83-196.abo.wanadoo.fr) a rejoint #debian-fr
mai 08 21:18:56 <tadada>	bonjour a vous, j'aimerai tester Debian, mais j'suis un peu perdu dans les possibilités de telechargement
mai 08 21:19:24 <tadada>	il me semble que j'devrais telechager ce qu'on appelle la version i386
mai 08 21:19:31 <tadada>	mais j'en sais rien en fait :s
mai 08 21:20:05 <tadada>	oops, c'est pas un chan de support, désolé !
mai 08 21:20:57 <kolter>	c'est surtout pas le bon serveur
mai 08 21:22:11 *	tadada (n=dada@ANancy-154-1-35-118.w83-196.abo.wanadoo.fr) a quitté #debian-fr
mai 08 21:29:21 *	yoan est parti ()
mai 08 21:31:16 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
mai 08 21:32:11 <pikapika>	hello
mai 08 21:48:57 *	ludoRA (n=Ludovic@35.10.101-84.rev.gaoland.net) a rejoint #debian-fr
mai 08 22:02:36 *	cOoLaZaZeL (n=coolazaz@cable-62-205-70-17.upc.chello.be) a rejoint #debian-fr
mai 08 22:05:05 *	EtAlors est parti ("Sauve tes fesses, ta tete suivra !")
mai 08 22:17:09 *	robind_ (n=robind@39-54-124-83.dsl.3u.net) a rejoint #debian-fr
mai 08 22:19:42 *	UnMus est parti ("Connexion reset by beer")
**** DÉBUT DU JOURNAL À Wed May  9 20:59:32 2007

mai 09 20:59:32 *	Vous parlez maintenant sur #debian-fr
mai 09 20:59:32 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, voyez #debianfr || Merci de parler correctement francais pas de sms, lol et autres kikoo. || Ubuntu et Debian c'est different, ne vous trompez pas de canal || Ce n'est pas l'Armee du Salut ici, avant de poser une question, CHERCHEZ UN PEU || faire chier ici ou ailleurs est un motif de ban. et un bon, en plus !
mai 09 20:59:32 *	Sujet de #debian-fr défini par Gniarf le Sat Apr 14 21:17:07 2007
mai 09 20:59:35 <ptitlouis>	pourquoi ce connard de squirrelmail me jette
mai 09 21:01:25 *	SphereZ (n=roots@m58.net81-64-180.noos.fr) a rejoint #debian-fr
mai 09 21:03:09 <SphereZ>	Salut ey debian fait des restriction sur les dvd ? Qu'est-ce que c'est que :  libdvdcss ? Quelqu'un connais, rien sur aptitude
mai 09 21:03:28 <ptitlouis>	debian ne fait pas de restrictions
mai 09 21:03:33 <ptitlouis>	debian reste dans la légalité
mai 09 21:05:44 *	krifur est parti (Read error: 110 (Connection timed out))
mai 09 21:07:16 <SphereZ>	Cela veux dire que je ne peux pas lire le dvd ? Ou est-ce que je peux trouver libdvdcss ?
mai 09 21:07:26 <ptitlouis>	DTC !
mai 09 21:08:16 <SphereZ>	DTC ? quesako ?
mai 09 21:08:48 <ptitlouis>	STFW !
mai 09 21:09:10 <ptitlouis>	aller encore un et t'aura droit aua jackpot
mai 09 21:09:46 <Gniarf>	oh, un noos
mai 09 21:12:52 *	krifur (n=krifur@80-43-106-32.dynamic.dsl.as9105.com) a rejoint #debian-fr
mai 09 21:13:07 *	allan (n=allan@86.72.237.68) a rejoint #debian-fr
mai 09 21:13:19 *	allan (n=allan@86.72.237.68) a quitté #debian-fr ("Leaving")
mai 09 21:14:30 <SphereZ>	Bon laisse moi reflechir .... Dtc Stfw mais encore, cela a voir avec les dvd ?
mai 09 21:18:07 *	Pinkilla (n=Pinkilla@231.160-200-80.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 09 21:18:10 <ptitlouis>	hmmmm
mai 09 21:18:28 <ptitlouis>	aller, un petit dernier pour la root
mai 09 21:18:32 <ptitlouis>	RTFM \o/ !!!
mai 09 21:19:11 *	ptitlouis a expulsé SphereZ de #debian-fr (jackpot !)
mai 09 21:21:59 *	krionux (n=seb@86.67.10.211) a rejoint #debian-fr
mai 09 21:22:15 <krionux>	b'swar
mai 09 21:25:59 *	djezer est parti (Read error: 110 (Connection timed out))
mai 09 21:28:14 *	erkaqx (n=erkaqx@host-212-68-240-43.brutele.be) a rejoint #debian-fr
mai 09 21:30:10 *	erkaqx (n=erkaqx@host-212-68-240-43.brutele.be) a quitté #debian-fr ("Quitte")
mai 09 21:35:20 *	UnMus (n=domi@84.4.239.102) a rejoint #debian-fr
mai 09 21:35:56 <UnMus>	Bonsoir
mai 09 21:41:53 *	flux_ (n=franck@spir.ath.cx) a rejoint #debian-fr
mai 09 21:42:24 *	flux_ (n=franck@spir.ath.cx) a quitté #debian-fr
mai 09 22:02:42 *	IzuliuM est parti ("Leaving")
mai 09 22:04:20 *	mRk` est parti ("Quit o/")
mai 09 22:07:14 *	exd est parti ("segfault")
mai 09 22:24:18 *	bulou (n=bulou@lns-bzn-60-82-254-207-7.adsl.proxad.net) a rejoint #debian-fr
mai 09 22:29:24 *	christof (n=christor@ANancy-256-1-86-153.w90-26.abo.wanadoo.fr) a rejoint #debian-fr
mai 09 22:36:52 *	sputnick (n=sputnick@unaffiliated/sputnick) a rejoint #debian-fr
mai 09 22:38:09 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - Un message qu'on pense pas à vérifier souvent ...")
mai 09 22:42:02 *	krionux est parti ("leaving")
mai 09 22:44:27 *	jnjb est parti ("WeeChat 0.2.5-cvs")
mai 09 22:50:53 <mickey08>	hop
mai 09 22:50:59 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
**** DÉBUT DU JOURNAL À Tue May 15 18:57:20 2007

